Date,Twitter_ID,User_Name,Followers,Tweet,Link,Favourites,Retweets
2019-08-14 22:23:24,lordharbar,Sam Halen,27,"Sometimes I think I'm doing well and have finally ""grown-up"" and then my computer freezes for .02 seconds. #computerrage #tableau #realadult",,2,2
2019-08-14 22:00:23,Grazitti,Grazitti Interactive,3809,"Salesforce is on a roll! Shortly after #Tableau, the #CRM behemoth signed a definitive agreement to acquire ClickSo…", https://t.co/7EWEu4rIpi,11,9
2019-08-14 21:35:53,HealthTUG,Tableau Healthcare User Group,283,Get to know your #tableau ambassadors - check out this dashboard., https://t.co/KrNWLaGrY3,1,1
2019-08-14 21:28:34,M_Eerens,Marian Eerens 🏳️‍🌈,520,In case you missed the live feed - you can catch up via the link below (no facebook account needed) #tableau…, https://t.co/zVr4boS5wA,3,1
2019-08-14 20:54:23,onebridgetech,Onebridge,2965,#CaseStudy- Learn how this #healthcare company improved response agility and FDA compliance when addressing custome…, https://t.co/uLadMdKi8V,0,1
2019-08-14 20:53:23,jwillie,Jeff Willinger MVP ☁️ #SPSNYC,20713,This is the perfect how to #PowerBI guide.  #Tableau #Qlik #dashboard #Analytics #data, https://t.co/q5KpIbCO1a,1,1
2019-08-14 20:51:32,sarahlovesdata,Sarah Bartlett,6032,Bookmark this now! #Tableau, https://t.co/3Rx0mY0GzE,18,0
2019-08-14 20:38:54,sarahlovesdata,Sarah Bartlett,6032,Learn all about the #Tableau Ambassadors used this handy tool built by @SwaggyKJ! #digthisviz, https://t.co/wh69ovs4po,7,0
2019-08-14 19:38:00,KubicleTraining,Kubicle,317,Unsure of what #Tableau is? Here is breakdown of how it could benefit you.  #data, https://t.co/7s8X8aBjI4,1,1
2019-08-14 19:20:02,infosolinc,"InfoSol, Inc.",268,Did you miss out on the #InfoBurst Webinar: Burst Tips &amp; Tricks and Leverage your XDC’s in #Tableau &amp; #PowerBI? The…, https://t.co/1EbugJiy7g,0,1
2019-08-14 18:59:11,JonaCao,囧曹姑娘,1403,@kelly_gilbert Kelly! I loved your #tableau viz of the day Charts for Visualizing a Funnel or Pipeline. Question: I…, https://t.co/vjTChvixbH,0,1
2019-08-14 18:35:13,ellaworsdale,Ella Worsdale,701,"Not only did I become a #tableau ambassador last week 🤩....now I am actually in a dataviz!! #amazing
Great job…", https://t.co/Q7bisYSKkG,21,1
2019-08-14 18:34:33,EmilySquirrely,Emily Squirrely,64,My own personal #tableau #makeovermonday. National energy benchmarking data before and after 6 week #dataanalytics…, https://t.co/N5WTuAjmve,7,2
2019-08-14 18:30:04,interworks,InterWorks,6345,Your dashboard #design can either reinforce the #data story you're telling or distract from it. This video details…, https://t.co/6CvdNw5f1z,0,1
2019-08-14 18:24:03,jeffhessdata,Jeff Hess,34,Had a bout of @accidental__aRt today with #Tableau. Whoops... 🤷‍♂️, https://t.co/WuVGm8EIh0,15,4
2019-08-14 18:11:16,SwaggyKJ,Swagat Kumar Jena,73,"Finally ""Know your Ambassadors Better"" dashboard is complete. #Thanks everyone for your feedback and suggestions…", https://t.co/l9wOBt9Nc1,35,5
2019-08-14 18:03:25,russ_lyman,Russ Lyman,187,A simple viz I made to show economic disparity worldwide and within the US. #tableau #interworks, https://t.co/hRpGlFuw34,0,1
2019-08-14 17:44:02,Cardanski0,Carter McHasTakes,152,sneak peek of the data 👇. final tool will be in #Tableau, https://t.co/ONWiygaffU,2,0
2019-08-14 17:31:21,dataforacause,@dataforacause,506,Check out visualization of #DataForACause volunteer @LucaUrzi on how the #sealevel changed since 1993🐳…, https://t.co/MOPewUUHUE,8,1
2019-08-14 17:28:56,LRS_Education,LRS Education,27,"Does your organization need help learning how to better use data to make business decisions? On our blog, Chris Bec…", https://t.co/BR1wbjy40a,1,0
2019-08-14 16:48:00,couponfree01,Coupon Free,1914,Udemy Free Discount - R Programming: Advanced Analytics In R For Data Science #udemycoupon -&gt;…, https://t.co/9I7BUlc0kt,4,4
2019-08-14 16:17:12,schaubkatelyn,Kate Schaub,295,"@TriMyData @VizWizBI @sarahlovesdata @tableau @tableaupublic @SpencerPHey Thank you for the feedback, @TriMyData! M…", https://t.co/w5eNnqsWG2,8,1
2019-08-14 16:11:59,lucie_bailly,Lucie,114,"A look at Diabetes clinical trials 
#MakeoverMonday
Week 33 2019
@VizWizBI @TriMyData
 
--&gt; Link to the viz:…", https://t.co/Fy64R8pMBp,2,1
2019-08-14 16:02:03,RocksCloud,Cloud Data Rocks,1,"Would you like to increase your skills in persuasion, visualization, creativity with dashboards? Here are some amaz…", https://t.co/KtkWFRkv7t,1,0
2019-08-14 15:56:57,BritniFreiboth,Britni Freiboth,340,I’m so thankful for the time I’ve spent with our amazing coworkers outside of the office. #tableau @ Chicken + Whis…, https://t.co/uQ0bQv1bNo,0,1
2019-08-14 15:44:49,ryanmcg13,Ryan,259,"AIRBNB IN DUBLIN (June 2019):
9822 listings with an average price of €118 a night.
4662 are private rooms; how many…", https://t.co/FU31jR7fro,8,3
2019-08-14 15:22:21,ShaneTurbeville,Shane Turbeville,3,"Game of Thrones IMDB Ratings
#GameOfThrones #Tableau

https://t.co/z0SlWyL7El", https://t.co/BLWUEcZKnL,0,1
2019-08-14 15:19:33,HealthTUG,Tableau Healthcare User Group,283,Amazing growth with constant outreach and education on #Tableau dashboards.  Well done John and @anna_kisting…, https://t.co/wSDv3ST4jY,8,1
2019-08-14 14:43:31,SzczesPiotr,Piotr Szcześ,12,"I am happy to announce that from today on, I am certified Tableau Desktop Specialist :)
#CertifiablyTableau…", https://t.co/uOPX66ak5A,26,1
2019-08-14 14:35:13,HealthTUG,Tableau Healthcare User Group,283,Meeting will start at 11 am Eastern.  Hope you can join us! #tableau #healthcare #healthtug, https://t.co/dyIoDBDGJ7,1,1
2019-08-14 14:13:04,donnacoles30,Donna Coles,639,Formatting 'tables' in #Tableau for #WorkoutWednesday2019 Week 33. Great guest challenge from @CoreyJ34 this week -…, https://t.co/uWhA4JoNlc,8,2
2019-08-14 13:58:29,couponfree01,Coupon Free,1914,Udemy Free Discount - Blockchain A-Z™: Learn How To Build Your First Blockchain #udemycoupon -&gt;…, https://t.co/fMWQFZy2Ca,4,4
2019-08-14 13:01:29,KyvosInsights,Kyvos Insights,638,Sign up for our upcoming webinar to learn how Kyvos enables Tableau users to analyze all their data instantly and i…, https://t.co/S8Ad7AKtcc,4,1
2019-08-14 12:37:59,edurekaIN,Edureka!,4060,"Here https://t.co/IfQPHWBDe2 is a toe-to-toe comparison of Tableau Desktop, Tableau Public &amp; Tableau Reader that wi…", https://t.co/Nwl8XjTQFH,1,2
2019-08-14 12:15:07,jamilahmed_16,Jamil Ahmed,412,"51 Best #BusinessIntelligence #Certification 

https://t.co/r1FQFcJSZh

#Discounts #SAP #SQLServer #SQL #AI…", https://t.co/FGJSxn9h0g,8,6
2019-08-14 11:58:29,TopBusinessTech,Top Business Tech,27,How to cultivate data-driven culture: @Tableau Software's James Eiloart for Top Business Tech…, https://t.co/ncQb9nnuIs,1,1
2019-08-14 11:50:04,infolabUK,The Information Lab,7529,"#TableauTip 💡
Table calculations can be incredibly powerful, but also quite complex. @marmstm will show us tools th…", https://t.co/mAvef9gAG4,4,2
2019-08-14 11:30:10,infolabUK,The Information Lab,7529,"#ProjectGriffon 🐾
In this blog, there is an example of how to improve the built-in Administrative Views of…", https://t.co/Hug4QQiD6x,4,3
2019-08-14 11:30:09,infocaptor,InfoCaptor,13297,"Web based #Tableau alternative that does beautiful #visualizations, stunning #dashboards, lifts #bigdata and is che…", https://t.co/uUsbUs6HBv,1,2
2019-08-14 11:29:17,AdamMico1,Adam Mico,164,New #tableau #viz inspired by an accident I made while playing with @davidvelleca blog on how to create a rotating…, https://t.co/TB7oDjLInl,5,1
2019-08-14 11:10:05,infolabUK,The Information Lab,7529,"You've built a #TableauDashboard extension. Awesome 👏
How about the user interaction with it?
Check this blog out a…", https://t.co/x34s5P0BVx,3,2
2019-08-14 11:08:04,ExasolAG,Exasol,21181,"Data modeling with our #analytics database, and visual analysis in #Tableau and learn...

- Why you should use the…", https://t.co/sxF9cYPKhg,4,2
2019-08-14 09:53:53,infolabNL,The Information Lab,511,The session catalog of #Tableau Conference 2019 is now live! 🎉 Click here to discover the multiple sessions you can…, https://t.co/XVPEym24Ea,0,1
2019-08-14 09:51:54,Sheibban,Sheibban Pervez,154,"We had been hinting at something big for a while, it's time. 

Alphaa is now officially a #Tableau partner. 

Toget…", https://t.co/wWOv6yw5zG,0,1
2019-08-14 07:05:08,DatalabsAgency,Datalabs Agency,675,The 15 Most Common Types of Data Visualizations -, https://t.co/XxQJrZ8vTc #data #dataviz #design #tableau,2,1
2019-08-14 05:34:51,4junctions,4junctions,94,"#Tableau #splunk #mulesoft #Online &amp; Offline #Training
Attend #Free #Demo 
Call : 9704868185", https://t.co/qN5om2PXAM,0,1
2019-08-14 04:52:54,VanessaMiranda1,Vanessa,162,"First report witTableau.yay!!!  let me know ur thoughts https://t.co/uKcViKKSzP

p/s understanding how the coal biz…", https://t.co/aTDuOu21we,2,2
2019-08-14 03:45:03,DatalabsAgency,Datalabs Agency,675,"We’ve got the ultimate Style Guides for you! #tableau, #excel, #highcharts and #infographics - we got you sorted.…", https://t.co/Q7CnKCWrgI,0,0
2019-08-14 03:44:50,freecoupondisco,Free Coupon Discount,63,Free Coupons Discount - Build an Online Store with React and GraphQL in 90 Minutes Courses -&gt;…, https://t.co/TvcoZnpSN5,10,14
